company_id,type,rule_id,text,confidence_pct
VBL,pro,PRO_4,Revenue growing above 15% CAGR reflects strong business momentum,85
VBL,con,CON_2,Negative free cash flow raises concern about cash generation quality,75
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,pro,PRO_2,Positive free cash flow indicates healthy cash generation ability,75
ADANIENSOL,pro,PRO_2,Positive free cash flow indicates healthy cash generation ability,75
ADANIENSOL,pro,PRO_5,High operating margin indicates strong pricing power and cost discipline,80
ADANIENSOL,con,CON_1,High debt-to-equity ratio indicates elevated financial leverage risk,85
ADANIENSOL,con,CON_3,Low return on equity suggests weak capital efficiency,70
ADANIENT,con,CON_2,Negative free cash flow raises concern about cash generation quality,75
ADANIENT,con,CON_3,Low return on equity suggests weak capital efficiency,70
ADANIENT,con,CON_5,Low revenue growth indicates limited business momentum,70
ADANIGREEN,pro,PRO_4,Revenue growing above 15% CAGR reflects strong business momentum,85
ADANIGREEN,pro,PRO_5,High operating margin indicates strong pricing power and cost discipline,80
ADANIGREEN,con,CON_1,High debt-to-equity ratio indicates elevated financial leverage risk,85
ADANIGREEN,con,CON_2,Negative free cash flow raises concern about cash generation quality,75
ADANIPORTS,pro,PRO_2,Positive free cash flow indicates healthy cash generation ability,75
ADANIPORTS,pro,PRO_4,Revenue growing above 15% CAGR reflects strong business momentum,85
ADANIPORTS,pro,PRO_5,High operating margin indicates strong pricing power and cost discipline,80
ADANIPOWER,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ADANIPOWER,pro,PRO_2,Positive free cash flow indicates healthy cash generation ability,75
ADANIPOWER,pro,PRO_4,Revenue growing above 15% CAGR reflects strong business momentum,85
ADANIPOWER,pro,PRO_5,High operating margin indicates strong pricing power and cost discipline,80
AMBUJACEM,pro,PRO_4,Revenue growing above 15% CAGR reflects strong business momentum,85
AMBUJACEM,con,CON_2,Negative free cash flow raises concern about cash generation quality,75
